"id","author","read","readDate","review","title"
"199","Weir, Andy","false","","","The Martian"
"198","Ward, Jacqueline","false","","","Perfect Ten"
"197","Wagner, Wendy","false","","","An Oath of Dogs"
"196","Vaughn, S. K.","false","","","Across the Void"
"195","Tzu, Sun","false","","","The Art of War"
"194","Tough, Kate","false","","","Keep Walking, Rhona Beech"
"193","The Justified Ancients of Mu Mu","false","","","2023"
"192","Stroud, Jonathon","false","","","The Whispering Skull"
"191","Stroud, Jonathon","false","","","The Screaming Staircase"
"190","Stephens, Anna","false","","","The Stone Knife"
"189","Smith, Ben","false","","","Doggerland"
"188","Sinisalo, Johanna","false","","","The Core of the Sun"
"187","Simpson, John","false","","","Our Friends in Beijing"
"186","Shannon, Samantha","false","","","The Priory of the Orange Tree"
"185","Schaffhausen, Joanna","false","","","The Vanishing Season"
"184","Scarrow, Alex","false","","","The Infinity Cage"
"183","Rowling, J. K.","false","","","Harry Potter and the Deathly Hallows"
"182","Rowling, J. K.","false","","","Harry Potter and the Half Blood Prince"
"181","Rowling, J. K.","false","","","Harry Potter and the Order of the Phoenix"
"180","Rowling, J. K.","false","","","Harry Potter and the Goblet of Fire"
"179","Rowling, J. K.","false","","","Harry Potter and the Prisoner of Azkaban"
"178","Rowling, J. K.","false","","","Harry Potter and the Chamber of Secrets"
"177","Rowling, J. K.","false","","","Harry Potter and the Philosopher's Stone"
"176","Roth, Veronica","false","","","Four"
"175","Roth, Veronica","false","","","Allegiant"
"174","Roth, Veronica","false","","","Insurgent"
"173","Roth, Veronica","false","","","Divergent"
"172","Riordan, Rick","false","","","Percy Jackson and the Demigod Files"
"171","Riordan, Rick","false","","","Percy Jackon and the Greek Heroes"
"170","Riordan, Rick","false","","","Percy Jackon and the Greek Gods"
"169","Riordan, Rick","false","","","Magnus Chase and the Hammer of Thor"
"168","Riordan, Rick","false","","","Magnus Chase and the Sword of Summer"
"167","Riordan, Rick","false","","","The Kane Chronicles The Throne of Fire"
"166","Riordan, Rick","false","","","The Trials of Apollo The Hidden Oracle"
"165","Riordan, Rick","false","","","The Trials of Apollo The Dark Prophecy"
"164","Riordan, Rick","false","","","Magnus Chase and the Ship of the Dead"
"163","Riordan, Rick","false","","","The Trials of Apollo The Burning Maze"
